Date,Open,High,Low,Close,Adj Close,Volume
2022-08-11,216.619995,216.779999,214.399994,215.270004,215.270004,299900
2022-08-12,214.720001,215.830002,214.009995,215.809998,215.809998,176800
2022-08-15,214.539993,215.389999,213.529999,214.660004,214.660004,96400
2022-08-16,209.949997,212.800003,209.529999,212.160004,212.160004,288300
2022-08-17,210.839996,213.360001,209.350006,211.380005,211.380005,221200
2022-08-18,211.080002,212.380005,209.529999,212.369995,212.369995,252800
2022-08-19,208.740005,208.860001,205.570007,207.039993,207.039993,220100
2022-08-22,202.500000,203.580002,199.695007,200.559998,200.559998,473400
2022-08-23,201.479996,204.529999,201.479996,201.899994,201.899994,211800
2022-08-24,201.479996,205.210007,201.240005,203.600006,203.600006,173800
2022-08-25,204.559998,207.089996,203.949997,206.919998,206.919998,202600
2022-08-26,204.500000,205.410004,197.750000,197.789993,197.789993,279500
2022-08-29,198.369995,200.160004,198.080002,198.990005,198.990005,271300
2022-08-30,199.250000,199.979996,194.550003,195.429993,195.429993,375900
2022-08-31,195.639999,196.320007,193.800003,194.660004,194.660004,325700
2022-09-01,192.500000,194.050003,190.080002,193.850006,193.850006,308600
2022-09-02,196.020004,198.169998,190.389999,191.179993,191.179993,334900
2022-09-06,188.710007,191.119995,187.169998,190.350006,190.350006,444800
2022-09-07,192.240005,195.419998,191.880005,195.270004,195.270004,156600
2022-09-08,190.300003,194.000000,189.300003,193.710007,193.710007,245900
2022-09-09,197.179993,197.820007,195.570007,195.800003,195.800003,266500
2022-09-12,200.479996,202.809998,200.479996,201.970001,201.970001,321100
2022-09-13,197.720001,198.429993,195.029999,195.520004,195.520004,339300
2022-09-14,198.800003,201.080002,197.979996,199.619995,199.619995,437700
2022-09-15,198.440002,201.360001,196.470001,196.639999,196.639999,290800
2022-09-16,196.380005,197.440002,195.240005,196.899994,196.899994,355500
2022-09-19,194.710007,198.529999,194.710007,198.440002,198.440002,183200
2022-09-20,194.699997,194.960007,191.979996,194.000000,194.000000,578700
2022-09-21,192.779999,196.740005,192.100006,192.479996,192.479996,421300
2022-09-22,191.339996,191.580002,187.850006,189.130005,189.130005,527200
2022-09-23,186.550003,186.630005,183.630005,186.250000,186.250000,577100
2022-09-26,187.279999,190.309998,185.740005,186.429993,186.429993,275200
2022-09-27,190.199997,191.119995,186.529999,189.190002,189.190002,413900
2022-09-28,187.179993,191.789993,185.419998,191.229996,191.229996,433200
2022-09-29,185.639999,186.910004,183.149994,186.419998,186.419998,444600
2022-09-30,184.850006,188.229996,184.570007,185.000000,185.000000,282600
2022-10-03,183.860001,187.759995,182.789993,186.699997,186.699997,412900
2022-10-04,192.529999,196.050003,192.529999,193.779999,193.779999,509600
2022-10-05,189.410004,194.649994,187.429993,193.520004,193.520004,361200
2022-10-06,190.740005,192.240005,189.210999,190.880005,190.880005,332600
2022-10-07,187.440002,187.570007,184.699997,185.000000,185.000000,340400
2022-10-10,184.580002,184.850006,181.020004,182.110001,182.110001,493500
2022-10-11,183.350006,186.000000,182.000000,183.149994,183.149994,322000
2022-10-12,183.000000,184.309998,182.000000,182.500000,182.500000,319600
2022-10-13,178.000000,184.000000,176.820007,183.449997,183.449997,463100
2022-10-14,185.580002,186.270004,180.570007,180.630005,180.630005,388100
2022-10-17,186.720001,189.089996,185.899994,188.589996,188.589996,308500
2022-10-18,192.740005,193.479996,189.889999,191.020004,191.020004,264300
2022-10-19,189.119995,189.710007,186.100006,187.570007,187.570007,179100
2022-10-20,187.570007,189.669998,185.570007,186.660004,186.660004,260600
2022-10-21,184.899994,188.690002,184.149994,188.369995,188.369995,285800
2022-10-24,189.500000,192.779999,189.410004,191.729996,191.729996,399700
2022-10-25,194.139999,198.893005,194.070007,196.509995,196.509995,352600
2022-10-26,195.660004,199.440002,195.360001,197.179993,197.179993,257300
2022-10-27,198.759995,199.205002,196.080002,196.289993,196.289993,261200
2022-10-28,196.619995,199.169998,195.820007,198.649994,198.649994,356600
2022-10-31,196.740005,198.100006,195.270004,196.770004,196.770004,277900
2022-11-01,200.860001,201.720001,195.600006,196.960007,196.960007,299200
2022-11-02,192.899994,197.634995,190.289001,191.589996,191.589996,595000
2022-11-03,189.160004,193.779999,188.929993,192.520004,192.520004,528200
2022-11-04,201.690002,203.000000,197.220001,199.199997,199.199997,565300
2022-11-07,200.419998,201.000000,198.645004,199.889999,199.889999,298700
2022-11-08,202.179993,206.360001,201.960007,204.300003,204.300003,385900
2022-11-09,202.240005,205.119995,201.250000,201.490005,201.490005,261300
2022-11-10,211.880005,214.229996,210.822006,212.800003,212.800003,445800
2022-11-11,215.000000,218.539993,214.410004,216.860001,216.860001,439700
2022-11-14,215.899994,216.589996,212.759995,212.759995,212.759995,341900
2022-11-15,215.940002,216.889999,212.580002,215.440002,215.440002,289800
2022-11-16,214.399994,215.160004,213.300003,213.940002,213.940002,194100
2022-11-17,211.100006,213.802994,210.949997,213.550003,213.550003,347900
2022-11-18,214.429993,216.429993,213.600006,216.330002,216.330002,143500
2022-11-21,214.860001,216.000000,213.934998,214.119995,214.119995,181700
2022-11-22,214.910004,217.020004,214.485001,216.360001,216.360001,162600
2022-11-23,216.610001,218.494995,216.449997,217.589996,217.589996,213200
2022-11-25,217.580002,218.899994,217.559998,218.139999,218.139999,70200
2022-11-28,218.970001,219.889999,215.830002,215.949997,215.949997,203600
2022-11-29,215.550003,217.119995,215.074997,215.220001,215.220001,223500
2022-11-30,219.649994,223.050003,218.080002,223.050003,223.050003,282600
2022-12-01,226.179993,228.399994,224.940002,228.080002,228.080002,299200
2022-12-02,224.639999,226.679993,223.410004,226.580002,226.580002,353700
2022-12-05,226.919998,227.039993,223.679993,223.679993,223.679993,372300
